work_id,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,rating,category,relationship,character,additional tags,lemma,lemma_lower,Word
17267,1.710586988387097,0.3221252078387097,0.9770796141935483,1.271512877516129,0.4928296401935484,2.5637806498817204,1.0295512759139784,1.3403265559892472,2.279973362483871,1.3435600566989248,1.0125324188924731,General Audiences,['Gen'],[''],['Achilles'],"['Drabble', '100-1000 Words', 'Challenge Response']",everyone,everyone,EVERYONE
17268,1.79402993484375,0.39852665084375,0.9295492730520833,1.2781497063020832,0.5173851279479167,2.2392838060104165,1.0568202806041667,1.3151140766041667,2.2373984877812503,1.394698430875,0.9996424815520834,General Audiences,['Gen'],[''],['Hector'],"['Drabble', '100-1000 Words', 'Challenge Response']",when,when,WHEN
17269,1.8401453807500001,0.5647362997826086,1.2169724045652175,1.425468183804348,0.5916864117282609,2.2599484111086956,0.8071607580217391,1.2255333420434782,2.0325103402608695,1.6115557856847826,0.9208765693369566,Mature,['M/M'],['Achilles/Patroclus'],[''],"['Challenge Response', '100-1000 Words', 'Drabble']",achille,achille,
17270,1.7435942598217096,0.4371876967650761,1.1139034764320923,1.1808199360692186,0.5477251709900367,2.4956905107519667,0.9064546785364447,1.3339718663518616,2.258252788977976,1.4131138387079183,0.8967448172569481,General Audiences,['F/M'],"['Menelaus/Helen', 'Paris/Helen']","['Helen', 'Clytemnestra', 'Agamemnon', 'Paris (Ancient Greek Religion & Lore)', 'Menelaus (Ancient Greek Religion & Lore)']","['Yuletide', '1000-3000 words', 'Alternate Universe - Modern Setting']",Helen,helen,
17456,1.8313386858691587,0.41378126014018696,1.0954670024672897,1.2710884194392522,0.46917315730841125,2.2963711727570093,0.8960788189626168,1.2602930437663553,2.17403335464486,1.5611160565046729,0.863596319504673,Mature,['M/M'],['Achilles/Patroclus'],[''],"['Drabble', '100-1000 Words']",it,it,IT
17458,1.7345729290434782,0.5229027853152174,0.9275461443695652,0.9200392274565218,0.5560990883586957,2.222880940576087,0.7656770203913044,1.3265433293260869,1.8497263738913043,1.3027668443695652,0.7344038226739131,General Audiences,['Gen'],[''],[''],"['Drabble', 'Challenge Response', '100-1000 Words']",the,the,THE
17459,1.686709281169014,0.4528143178309859,1.1221923613615024,1.1899743561596243,0.5924647529812207,2.4874762007042253,0.8323828599014085,1.2045610163239435,2.2893046881877934,1.24157615228169,0.8187488394929577,Teen And Up Audiences,['M/M'],['Hector/Paris'],[''],"['100-1000 Words', 'Challenge Response']",ever,ever,EVER
17460,1.83513947153,0.42544532253999995,1.13767734887,1.53022218296,0.63439709623,2.23463553738,1.18845976974,1.41695689152,2.33990981933,1.7080322158999999,1.21019807339,General Audiences,['Gen'],[''],['Achilles'],"['Drabble', 'Challenge Response', '100-1000 Words']",you,you,YOU
17463,1.8301471299670329,0.3703189554945055,1.0040325621868131,1.321807602032967,0.5215167212747253,2.4220536033626376,0.8113819526373626,1.2196815245494506,2.255017911197802,1.312775405956044,0.803352636934066,General Audiences,['M/M'],"['Draco Malfoy/Blaise Zabini', 'Achilles/Patroclus']",[''],"['Crossover', 'Reincarnation', '100-1000 Words', 'Drabble', 'Challenge Response']",Draco,draco,
17464,1.7355827379080144,0.40381781567668484,1.324999358143898,1.5668632083606557,0.600094225996357,2.4863967499225867,1.2266554003624772,1.5609512800154826,2.418529453755009,1.6647996354799637,1.236024669151184,Mature,['M/M'],['Hector/Paris'],[''],"['Challenge Response', '1000-3000 words']",you,you,YOU
17465,1.4883301347346938,0.5021016785612246,1.7933172418571428,1.1554756779693878,0.6553980508979592,2.5898057979387756,1.2669860580918366,1.9129402129489796,2.0483855893979594,1.2913494759183675,1.2277791039387755,General Audiences,['Other'],[''],['Achilles'],"['Drabble', 'Challenge Response', '100-1000 Words']",it,it,IT
17466,1.6818665230151773,0.4788121491306914,1.2041353140067452,1.2624906984510962,0.5797734924165262,2.420239621219224,1.0036437571450254,1.429653648954469,2.2119560492462056,1.4073568514241148,0.9495611129392918,General Audiences,['M/M'],['Achilles/Patroclus'],"['Achilles (Homer)', 'Achilles (Greek and Roman Mythology)', 'Patroclus (Greek and Roman Mythology)', 'Patroklos (Homer)']","['1000-3000 words', 'Yuletide', 'If you only read one work by me']",it,it,IT
17467,1.6800423027731957,0.5024799773402062,1.0315801102371134,1.045499403402062,0.5204619567731958,2.3486000701546392,0.8983295547525773,1.4035094530515462,2.147045093412371,1.4904667391340207,0.8263267998556701,General Audiences,['Gen'],[''],['Eris'],"['100-1000 Words', 'Drabble', 'Challenge Response']",Eris,eris,
17468,1.4737262448809523,0.2785136696428571,0.9333203199047618,1.0088698066071429,0.3617301377261905,2.291662671702381,1.1613513892380953,1.2746701549285713,2.0174847763214285,1.233421858154762,1.0091637558928572,General Audiences,['Other'],[''],"['Patroclus', 'Achilles']","['Alternate Reality', 'Drabble', 'Challenge Response', '100-1000 Words']",when,when,WHEN
17701,1.697898536746181,0.44735551386216693,1.2407655018564832,1.415109186751865,0.6067307195477797,2.473692580292007,1.1508392459182948,1.5413053828413854,2.372845734311545,1.547045680147602,1.1271744193511546,Mature,['M/M'],['Achilles/Patroclus'],"['Achilles (Greek and Roman Mythology)', 'Patroclus (Greek and Roman Mythology)', 'Achilles (Homer)', 'Patroklos (Homer)']","['Yuletide', '5000-10000 Words']",Year,year,YEAR
18978,1.781603831172609,0.448477362745897,1.188828469482739,1.190318143409168,0.5742195302275043,2.55003548827674,0.8854817741499716,1.311062634698925,2.2512453731307303,1.430489619851726,0.8607705640509338,General Audiences,['Gen'],[''],"['Silas', 'Original Female Character']",['Yuletide'],the,the,THE
30180,1.6881668016940263,0.4287884612093249,1.117293196311802,1.2184740338096163,0.5277332146731423,2.3842161847552212,1.0036960580286547,1.4330050335988345,2.2415924600811072,1.4547705118984944,0.9425347053181156,General Audiences,['Gen'],[''],"['Arachne', 'Prometheus', 'Niobe', 'The Gods', 'Athena (Greek and Roman Mythology)']",['Yuletide'],swiftly,swiftly,SWIFTLY
30749,1.5960487423380885,0.4638925120898716,1.117288083767475,1.185319842865906,0.5636486099186876,2.4852904856804563,0.8978092000542082,1.2849662984236805,2.1958130555064193,1.315099226617689,0.8719669935734665,Mature,['F/M'],['Pan/Iphigenia'],"['Iphigenia', 'Robin Goodfellow']","['Angst', 'Hurt/Comfort', 'Hallucinations', 'Immortality', 'Nostalgia', 'Masturbation']",the,the,THE
30797,1.730636311994638,0.4414457508418231,1.0305375479973191,1.1907054208257373,0.543367495772118,2.422610012986595,0.9155238049544236,1.2837224698659517,2.2299620554343162,1.4372905935201072,0.8763579495147453,Teen And Up Audiences,['Multi'],['Robin Goodfellow/Niko Leandros (Cal Leandros)'],"['Robin Goodfellow', 'Niko Leandros', 'Henry Fitzroy', 'Dionysos']","['Drama', 'Humor', 'Greek Mythology - Freeform', 'British History', 'World War II']",the,the,THE
30802,1.7563026056739526,0.4301954409726776,1.226500166601093,1.3691363096593807,0.6074836035774135,2.543344424040073,1.0293603223752277,1.357194928313297,2.3019985120765027,1.4689225982477232,0.9846020519653917,Mature,['F/M'],['Johnny Rockfort/Iphigenia'],"['Johnny Rockfort', 'Iphigenia']","['Romance', 'Hurt/Comfort', 'Angst', 'Crack', 'Crossover', 'Greek Mythology - Freeform', 'starmania', 'Musical']",he,he,HE
30811,1.700069852384365,0.4354359395798046,1.1399688176286646,1.2495887109283388,0.5610997796644951,2.56834484628013,0.8812943742312704,1.298760616384365,2.299028712250814,1.324795355820847,0.8993445203648209,Teen And Up Audiences,['Gen'],['Pan/Iphigenia'],"['Iphigenia', 'Pan']","['Romance', 'Tragedy']",sometimes,sometimes,SOMETIMES
31600,1.7650554095141728,0.4635668292696111,1.1822559503104813,1.4189675575978906,0.5972087954957153,2.4019472504225443,0.9900544745840474,1.3835454237218194,2.32806736892617,1.555058655686223,0.9714814974264997,General Audiences,['Gen'],[''],"['Ares (Greek and Roman Mythology)', 'Eros (Greek and Roman Mythology)']",[''],the,the,THE
31620,1.676532835785542,0.4112374054491566,1.1233645637527712,1.2004542180766264,0.5201597883301204,2.4774155704019276,0.929540093646747,1.3271898827291566,2.219079382190843,1.387108637440482,0.9010762150901205,Teen And Up Audiences,['Gen'],[''],"['Hades (Greek Mythology)', 'Zeus (Greek Mythology)', 'Demeter (Greek Mythology)', 'Poseidon (Greek Mythology)', 'Hera (Greek Mythology)']",[''],Zeus,zeus,
32474,1.670843220459806,0.4511791066325826,1.2506644348241,1.1786603918900214,0.5763600596611869,2.545830360646885,1.0210396963532795,1.418016338530988,2.197892090153707,1.3943887838683218,0.9595689925771823,Teen And Up Audiences,['F/M'],['Zeus/Hera'],"['Zeus', 'Hera', 'Aphrodite']",[''],when,when,WHEN
33458,1.5523774119398497,0.4249319343358396,1.3445384095471178,1.25067430701203,0.5483966782102756,2.610735965257895,0.9699696532197994,1.460186816071178,2.2768679220586465,1.42391801633609,1.0032438667358397,Explicit,['F/F'],[''],[''],"['Yuletide', 'recipient:KelseyML', 'challenge:Yuletide 2006']",for,for,FOR
33634,1.7625076322531308,0.41366740765867305,1.105086886434852,1.127600694564082,0.5529378888342659,2.4773735746123102,0.9413936277316813,1.322904191066347,2.2026323226541433,1.4484293316509458,0.9099602822057021,General Audiences,['F/M'],['Medea/Jason'],"['Medea', 'Jason', 'Glauce']",['Women Being Awesome'],i.,i.,
34336,1.6323486864180157,0.39660986246446167,1.2275602396688952,1.1964037339989444,0.5355872228845883,2.6019133843335682,0.9998720716470796,1.384506331029205,2.184450484664673,1.3555890019795918,0.9587552395541872,Teen And Up Audiences,['Gen'],[''],"['Apollo', 'Cassandra', 'Artemis']",[''],she,she,SHE
34740,1.8320479997786163,0.4769430104899371,1.1340548735698113,1.28117346546478,0.5924282957232704,2.488624387761006,0.9097763231264151,1.3667701824974843,2.2736837874874216,1.5008392997735849,0.9172487703402515,General Audiences,['Gen'],[''],['Andromeda - Character'],[''],Andromeda,andromeda,
34825,1.6923549105643565,0.3864211748666667,0.9337427223042903,1.115748887089109,0.4821927697716172,2.3634370042092407,0.8842000624838283,1.26654253520132,2.1693733879366337,1.3501232269214523,0.8214310395834984,Teen And Up Audiences,['Multi'],[''],['Heracles'],[''],though,though,THOUGH
34932,1.8009889456583559,0.40905279061927224,1.1283264362836927,1.4544771121212938,0.557330760032345,2.396828600264151,1.100427794865903,1.4828841879932613,2.427983546654987,1.5876136800795149,1.0907545883025607,Teen And Up Audiences,['Gen'],[''],"['Maia', 'Hermes', 'Zeus', 'Arcas', 'Apollo', 'Artemis']","['5 Things', 'POV Second Person', 'Present Tense', 'Drabble Collection']",I.,i.,
35194,1.840236007113846,0.3654848589815385,1.0357123930246155,1.3083652863446154,0.5176678800584615,2.386575881203077,0.9433637584923076,1.30445565244,2.2571443533323077,1.5738827562584614,0.9446473422246154,General Audiences,['Gen'],[''],['Olympian Pantheon'],[''],if,if,IF
35197,1.676364969811159,0.4319565834248927,1.5442835282575107,1.2419161144763948,0.5751048145937053,2.7829760910042918,1.0695646943590844,1.6375028185407727,2.14774111974392,1.4610715362732476,1.059101558085837,Mature,['F/M'],['Ares/Aphrodite'],"['Ares (Greek and Roman Mythology)', 'Aphrodite']",[''],Aphrodite,aphrodite,
35198,1.5588323324168336,0.46367084104008016,1.2895267894809619,1.202904818982966,0.5642854292434869,2.5569685722114226,0.9581879744218438,1.4917934711332665,2.1521974116332667,1.384735627559118,0.980057548496994,Explicit,['F/F'],['Venus/Mary'],"['Venus', 'Virgin Mary']",[''],they,they,THEY
35216,1.7032184511054094,0.49442925435367546,1.3565654077961165,1.3268488753481276,0.585445650299584,2.573250532335645,1.0055860460055477,1.3895568385104022,2.1783425600513175,1.5038880182704577,0.9925666279417477,Explicit,['F/M'],['Aphrodite/Jack Harkness'],"['Aphrodite', 'Jack Harkness']",[''],the,the,THE
36159,1.7654742745537313,0.3977525709004975,1.126111341745771,1.2002542224781094,0.5545834542895521,2.45425244400398,1.0174905323308459,1.394793824576617,2.206051352425373,1.4307550068069652,0.9396640491980099,Teen And Up Audiences,['Gen'],['Apollo/OFC'],"['Apollo', 'Artemis']","['Yuletide Treat', 'Brother-Sister Relationships', 'Dysfunctional Family', 'Pagan Gods']",America,america,
36400,1.808475965061633,0.4349113698412943,1.1960336440847457,1.2726170047827425,0.5798052081640986,2.5275515714530044,0.9865212434645609,1.3848450376841295,2.3144639251548536,1.5184011786602465,0.9595221870362096,General Audiences,['Gen'],[''],"['Achilles', 'Thetis']",[''],thetis,thetis,
36792,1.651737362138371,0.4582628060461237,1.3080560925466143,1.1625142235652601,0.6037702428488715,2.626639102504416,1.0189359742610402,1.4646836900323847,2.20548540186948,1.3822132251727182,0.9880047181766438,General Audiences,['Other'],"['Hades/Persephone', 'Phaeton/Cycnus', 'Zeus/Hera']","['Athena (Greek Mythology)', 'Hera (Greek Mythology)', 'Zeus (Greek Mythology)', 'Arachne', 'Hermaphroditos', 'Cadmus', 'Phaeton', 'Persephone (Greek Mythology)', 'Hades (Greek Mythology)']","['myths', 'Intersex']",Senseless,senseless,SENSELESS
37650,1.7362954386212561,0.4328374092521739,1.2210557710666665,1.1004770380695652,0.6158494773748792,2.658064662502415,0.9583627934347826,1.36839474265314,2.2198248753652177,1.3861884611565216,0.9358673648705313,Teen And Up Audiences,['Gen'],[''],"['Dionysus (Greek Mythology)', 'Persephone (Greek Mythology)']",[''],the,the,THE
37821,1.7033520800106383,0.45881544380319145,1.4051917211702127,1.2292561778404256,0.6034951462446808,2.622939807718085,0.8590834652180851,1.3736289537765958,2.262960200425532,1.2072314651968086,0.9549095861276596,General Audiences,['F/M'],[''],"['Hera (Greek Mythology)', 'Zeus (Greek Mythology)']",[''],she,she,SHE
38137,1.6787645927329626,0.4515473764478442,1.225823865264256,1.119019649867872,0.5506922875716272,2.6218678793824757,0.9581316289930458,1.3624559825159945,2.129274019226704,1.4259136457468706,0.909484566433936,Explicit,['F/M'],['Dionysus/Ariadne'],"['Ariadne', 'Dionysus']",[''],now,now,NOW
39511,1.6100656842592591,0.46839560556296295,1.3914752029796296,1.2330153479814814,0.6521748137444445,2.5584564202611113,0.9753711886314814,1.543699876764815,2.173248807387037,1.3626181244277777,0.9833942636240741,General Audiences,['F/M'],"['Hades/Persephone', 'Orpheus/Eurydike']","['Hades (Greek Mythology)', 'Persephone (Greek Mythology)']",[''],she,she,SHE
40181,1.5617556525370786,0.44044195430786515,0.9762628427033708,1.0189293353146067,0.5669069904741574,2.434771800305618,1.0155258635438202,1.242149366307865,2.0740242936651687,1.2167434995370787,0.874323823422472,General Audiences,['F/M'],['Hades/Persephone'],"['Hades (Greek Mythology)', 'Persephone (Greek Mythology)']",['Greek Mythology - Freeform'],far,far,FAR
41485,1.6157062522872743,0.44192870014118973,1.2340948162533887,1.149381233522967,0.5804748513949548,2.5204156148426202,0.9364389968637049,1.4010189586276356,2.169013718317771,1.362457948591491,0.9423517962658132,Teen And Up Audiences,['Multi'],"['Achilles/Patroklos', 'Achilles/Deidamia']","['Achilles', 'Patroklos', 'Deidamia']",['cross-dressing'],everyone,everyone,EVERYONE
41491,1.7016977737269205,0.4302017582840542,1.1227920970910263,1.1821450996610716,0.5380471045442221,2.491449472561007,0.9226138139567464,1.3569787011852807,2.2191402535468043,1.3759214370193675,0.8970480560342157,Teen And Up Audiences,['F/M'],['Achilles/Penthesilea'],"['Achilles', 'Penthesilea']",[''],what,what,WHAT
43302,1.611780024464497,0.38171779064497047,1.0325306719689349,1.1757205956405326,0.5227415850103551,2.4056049214408284,1.010437723106509,1.315913331800296,2.2083236765991123,1.3361366567588757,0.9165326510118342,General Audiences,['F/F'],['Aphrodite/Artemis'],"['Aphrodite', 'Artemis']",['Pre-Relationship'],there,there,THERE
45029,1.5317107131840286,0.458635638869977,1.292403343687996,1.2784088333557717,0.5398778271801894,2.511486250865882,0.9978499658881494,1.4193995467335552,2.138331205759918,1.3593166997632455,0.9176332113391349,Explicit,['M/M'],[''],[''],"['Smut', 'Mythology - Freeform']",stay,stay,STAY
45687,1.583251921946565,0.39006793263358774,1.2063500907480915,1.0800946478778626,0.5200571687633588,2.6522718599007638,0.9256384056183207,1.4031866395699744,2.061461176335878,1.2759824867379135,0.8730168503664122,Mature,['M/M'],['Hades/Pentheus'],"['Hades (Greek Mythology)', 'Pentheus']","['Humor', 'Puzzles']",stranger,stranger,STRANGER
49105,1.6285581333921844,0.40202276360247396,1.0876313991582796,1.0981483708644926,0.49950634560894014,2.4775081554605003,0.9105917206958111,1.3459327993606973,2.1350048440385154,1.3457429220432948,0.8489183364301378,General Audiences,['Multi'],"['Reginald Jeeves/Bertram Wooster', 'Cupid/Psyche']","['Reginald Jeeves', 'Bertram Wooster', 'Cupid', 'Psyche']","['Crossover', 'Crack', 'Meta Fic', 'preslash', 'Deus Ex Machina', 'Random Crossovers']",it,it,IT
49797,1.5479528823006552,0.43186740476728946,1.2207257248386314,1.0186434361890317,0.547204918488231,2.7160659390109196,0.9862136202594031,1.4154483226719243,2.160061150195341,1.2339900095988836,0.9051888431407425,General Audiences,['Gen'],[''],[''],"['Ancient Egyptian Literature', 'Persephone Cycle', 'Character of Color', 'Chromatic Source', 'Cat2', 'Mythology - Freeform', 'Mythology Egyptian']",great,great,GREAT
49799,1.672102144890687,0.41286156059114143,1.0487050312727144,1.07327019675071,0.5235895374104202,2.5130187893219764,0.9110191326858319,1.2353683852910278,2.153648776155593,1.327775082249716,0.8397713702795286,Teen And Up Audiences,['F/M'],['Orpheus/Euridice'],"['Orpheus', 'Euridice']","['Cat2', 'Mythology - Freeform', 'Mythology Greek']",anticipation,anticipation,ANTICIPATION
50890,1.7362007847662337,0.4482962985376623,1.2080420833571428,1.235112198351948,0.5844884417506493,2.5702799527285713,0.9836512592688311,1.3738954948714286,2.198758761738961,1.3736240631896104,0.9189455427857143,Explicit,['Other'],['Eurylochus/Polites'],[''],"['Bestiality', 'Magic', 'Transformation', 'Mythology - Freeform', 'Community: kink_bingo']",we,we,WE
50891,1.5303546000586319,0.4257362665135722,1.2436539051628663,1.2062070141226928,0.5786094633452769,2.657558846307275,0.966262946213898,1.3904854241834963,2.217568406092291,1.393698106519001,0.9386253092236699,Teen And Up Audiences,['M/M'],['Achilles/Patroclus'],[''],"['Mythology - Freeform', 'Community: contrelamontre']",the,the,THE
50892,1.6656498216353888,0.412978360489723,1.184509180386059,1.1332648894995532,0.5659742789329758,2.542214801280608,0.969218058158177,1.370946555393208,2.150273994286863,1.2633337221706882,0.8954076638168007,Mature,['M/M'],['Achilles/Patroclus'],[''],"['Mythology - Freeform', 'Community: contrelamontre']",it,it,IT
50893,1.6173596804594594,0.39823740466047297,1.2679297468175676,1.2477636469324325,0.5344837664915542,2.56562274195777,1.10853479179223,1.4616201394256756,2.146517683859797,1.3941817562871621,1.0201575770726352,Mature,['M/M'],['Achilles/Patroclus'],['Hector'],['Community: contrelamontre'],hector,hector,
50894,1.565624343667063,0.41107071259453026,1.3475805510404282,1.1675504829437178,0.5203823440709473,2.6490204051644866,0.9588589332362266,1.5102048478426477,2.1762011656987714,1.3899726395509313,0.9454136494625446,Mature,['M/M'],['Achilles/Odysseus'],[''],"['Crossdressing', 'Mythology - Freeform']",Pyrrha,pyrrha,
50895,1.6164723683780489,0.3885069705243902,1.1488836529237805,1.1824457825967989,0.5088971869588415,2.526121461894055,0.9275860917446647,1.3436320535358233,2.2062513384123474,1.3324288349832318,0.902473620647866,Mature,['Multi'],[''],"['Paris', 'Menelaus', 'Helen']",['Mythology - Freeform'],he,he,HE
50896,1.5248167007460596,0.3682984492311734,1.3056087698301226,1.2185267697355515,0.5325053511541156,2.5755920346497376,0.9583190570385289,1.4612326161978986,2.1815172396672504,1.2531446737723293,0.9415225169807356,Mature,['M/M'],['Achilles/Patroclus'],[''],"['Mythology - Freeform', 'Community: contrelamontre']",come,come,COME
50897,1.5331817056872246,0.37500060246108663,1.2410493107254037,1.138263746041116,0.48432442630690165,2.641097991455213,1.005059026342144,1.3964920077562408,2.153620385089574,1.3403556410499264,0.9266404129544787,Teen And Up Audiences,['M/M'],['Achilles/Odysseus'],[''],['Mythology - Freeform'],have,have,HAVE
50898,1.7278637541217494,0.4217284239787234,1.1411058451583924,1.3775956027494092,0.5670410712293144,2.438695750724586,1.0414630438829788,1.3975320695803781,2.2908541253085106,1.416207342248227,0.9950075555732861,General Audiences,['M/M'],[''],"['Achilles', 'Hector']","['Layout', 'Mythology - Freeform', 'Trojan War']",if,if,IF
51161,1.717052231460925,0.43006937319776717,1.2221386720701755,1.1493914031084531,0.5958013866570973,2.682610543714514,0.9837180503795854,1.3999199079936204,2.123773768446571,1.3641525160079744,0.962268370122807,Teen And Up Audiences,['F/M'],['Penthesilea/Achilles'],"['Achilles', 'Penthesilea']",[''],it,it,IT
54172,1.76300270564,0.39013696171,1.3018742242799999,1.26071726442,0.52368205547,2.78556565816,0.8698641848399999,1.44729399722,2.1687952372500003,1.6791082412099998,0.86739360073,Teen And Up Audiences,['M/M'],[''],['Narcissus'],['Drabble'],he,he,HE
54174,1.4506845888333333,0.36566847347916664,1.4083626678645833,0.9860816047604167,0.4484082224791666,2.574941417375,0.75806300915625,1.2885601484687499,1.9218137670416666,1.14570221790625,0.7381486196979167,Mature,['Gen'],[''],['Hermaphroditus'],['Drabble'],not,not,NOT
54176,1.8407360058367346,0.3536523547857143,1.1101075455204081,1.1563028890306122,0.5442953132857142,2.579554332989796,0.9755300122959184,1.4099950252346938,2.2096905674285714,1.4418950063367346,0.9304960371836736,General Audiences,['Gen'],[''],['Minotaur'],['Drabble'],the,the,THE
56444,1.7944383309145109,0.37632552393700786,0.9979081945635546,0.9916391714105738,0.5346987278953881,2.408574495773903,0.8966488469741283,1.2865551167952756,2.1087035086681665,1.4351771536119236,0.8415680219786277,General Audiences,['Gen'],[''],"['Charon', 'Cerberus', 'Nehalennia']","['Mythology - Freeform', 'Goddesses', 'Greek Mythology - Freeform', 'Dogs', 'The Netherlands']",the,the,THE
57605,1.497153513944882,0.3719433940708662,1.4028165413937006,1.2634069690236223,0.4656125711653543,2.666913125551181,1.087180282409449,1.6223181933385826,2.1915212488110236,1.3932530623858268,1.062441121125984,Teen And Up Audiences,['F/F'],['Athena/Medusa'],"['Athena (Greek Mythology)', 'Medusa (Greek Mythology)']",[''],Medousa,medousa,
61541,1.5897142247423208,0.38119630083390216,1.1307636279829352,1.0965607665779296,0.5014045328236633,2.583256471389079,0.9009457788839591,1.3515876270489193,2.1855935405921505,1.3185090910864619,0.8505114456353811,Teen And Up Audiences,['Gen'],[''],"['Alex Krycek', 'Hecate (Greek and Roman Mythology)']","['Challenges: Spook Me', 'Podfic Available', 'Gothic']",October,october,OCTOBER
63345,1.7375153561075516,0.42774520828604123,0.9953884759524028,1.2353321169020595,0.5397685618292907,2.3434695557725402,0.9180214959935927,1.2741279588073227,2.2752131536352405,1.4767382871144166,0.8727783588132723,General Audiences,['F/M'],"['Zeus/Hera', 'Hades/Persephone', 'Hermes/Iris']","['Artemis', 'Demeter', 'Zeus', 'Hera', 'Hades (Greek Mythology)', 'Persephone (Greek Mythology)', 'Hermes', 'Iris (Greek Mythology)']",['Obliviousness'],Persephone,persephone,
64805,1.6828429452923324,0.4223899481102236,1.1036036834744407,1.1641232371597443,0.5256886689265177,2.3908951366445685,0.9404324307971246,1.3036936291805112,2.2490162417412143,1.4076360959001597,0.9202615558378594,Teen And Up Audiences,['F/F'],['Cassandra of Troy/Wonder Woman'],"['Cassandra of Troy', 'Diana (Wonder Woman)']",['Femslash'],it,it,IT
